시군구,번지,본번,부번,단지명,전용면적,계약년월,계약일,거래금액,층,건축년도,도로명,해제사유발생일,등기신청일자,거래유형,중개사소재지
강원특별자치도 강릉시 입암동,321,321,0,강릉입암동금호어울림,157.22,202308,3,"43,000",15,2007,성덕로 328-15,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,543-3,543,3,에버그린,59.85,202308,25,"15,000",9,2000,강변로440번길 30,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,210,210,0,이안강릉타운,122.72,202308,12,"34,700",6,2006,성덕로 316-22,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,210,210,0,이안강릉타운,122.72,202308,14,"34,000",6,2006,성덕로 316-22,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,210,210,0,이안강릉타운,84.7,202308,23,"21,000",8,2006,성덕로 316-22,, ,직거래,-
강원특별자치도 강릉시 입암동,210,210,0,이안강릉타운,84.7,202308,29,"29,400",14,2006,성덕로 316-22,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,685,685,0,입암5주공,49.97,202308,4,"10,000",6,1996,성덕포남로 89-17,, ,직거래,-
강원특별자치도 강릉시 입암동,685,685,0,입암5주공,49.97,202308,23,"12,900",14,1996,성덕포남로 89-17,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202308,10,"16,600",5,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,13,"14,700",7,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,16,"13,000",11,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202308,18,"14,800",15,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,21,"12,400",5,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,21,"13,900",11,1998,성덕포남로 39,20230831, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,21,"13,900",11,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,59.99,202308,28,"15,800",1,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,709-1,709,1,입암6주공,49.62,202308,30,"13,000",10,1998,성덕포남로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,712,712,0,입암동강변코아루오투리움아파트,79.191,202308,22,"30,000",4,2019,월대산로 23,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,440,440,0,입암현대,84.904,202308,3,"26,200",13,1998,용지로 19,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,440,440,0,입암현대,59.956,202308,14,"16,500",5,1998,용지로 19,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,440,440,0,입암현대,84.904,202308,16,"25,400",4,1998,용지로 19,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,440,440,0,입암현대,59.956,202308,17,"19,500",7,1998,용지로 19,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,39.348,202308,7,"8,000",2,1998,강변로410번길 31-5,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,34.722,202308,14,"6,800",9,1998,강변로410번길 31-5,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,39.348,202308,15,"7,700",11,1998,강변로410번길 31-5,, ,중개거래,강릉시
강원특별자치도 강릉시 입암동,506-5,506,5,태평양임대,39.348,202308,19,"7,500",3,1998,강변로410번길 31-5,, ,중개거래,강릉시
강원특별자치도 강릉시 저동,04-4,4,4,경포현대,84.915,202308,2,"35,000",1,1996,경포로463번안길 14,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1256,1256,0,교항2주공,49.85,202308,3,"12,800",11,2000,연주로 241-7,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,49.86,202308,21,"7,260",3,1999,보리골길 26,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,1166-1,1166,1,우신그린피아임대,59.98,202308,23,"11,200",7,1999,보리골길 26,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,484-1,484,1,우진아트빌라,59.76,202308,14,"7,400",1,1992,매맥이길 34-1,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,484-1,484,1,우진아트빌라,59.76,202308,16,"7,000",2,1992,매맥이길 34-1,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,430-1,430,1,유성,49.89,202308,11,"6,900",3,1991,매맥이윗길 12-4,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,29-1,29,1,정우2,57.8,202308,22,"10,000",6,1993,연주로 291-6,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 교항리,387-6,387,6,주공,39.38,202308,1,"8,500",2,1982,신리천로 72,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 주문리,61,61,0,주문진라일플로리스4차,23.662,202308,16,"9,200",3,2017,오리나루2길 25,, ,중개거래,강릉시
강원특별자치도 강릉시 주문진읍 주문리,1586,1586,0,주문진삼부르네상스,75.271,202308,30,"36,000",19,2021,철둑길 45-11,, ,중개거래,강릉시
강원특별자치도 강릉시 지변동,334,334,0,덕원임대,33.471,202308,5,"4,600",1,1998,죽헌길85번길 25,, ,중개거래,강릉시
강원특별자치도 강릉시 초당동,155,155,0,유화3,45.68,202308,14,"12,000",9,1996,연당길 82,, ,중개거래,강릉시
강원특별자치도 강릉시 초당동,135-1,135,1,이화해변아파트(B~D동),29.82,202308,22,"7,500",3,1988,초당원길 21,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1278-182,1278,182,강릉2,55.857,202308,3,"11,500",1,1987,성덕포남로146번길 26,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1117,1117,0,강릉역동도센트리움,48.364,202308,21,"24,000",15,2023,강릉대로 337-5,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1117,1117,0,강릉역동도센트리움,59.926,202308,26,"25,726",11,2023,강릉대로 337-5,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,422-3,422,3,대인4,19.99,202308,8,"5,600",12,1995,강릉대로469번길 14,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,422-3,422,3,대인4,19.99,202308,10,"5,000",2,1995,강릉대로469번길 14,, ,직거래,-
강원특별자치도 강릉시 포남동,422-3,422,3,대인4,19.99,202308,14,"5,450",10,1995,강릉대로469번길 14,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,422-3,422,3,대인4,19.99,202308,15,"6,000",5,1995,강릉대로469번길 14,20230824, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,422-3,422,3,대인4,19.99,202308,24,"6,000",5,1995,강릉대로469번길 14,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,898-17,898,17,삼우골든맨션,136.14,202308,29,"35,000",10,1991,용지각길20번길 8,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1064,1064,0,삼호임대,44.28,202308,1,"11,500",2,1988,강릉대로457번길 38,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-1,1293,1,일송,59.135,202308,14,"17,000",12,1995,하평3길 37,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-1,1293,1,일송,59.135,202308,16,"16,300",12,1995,하평3길 37,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-1,1293,1,일송,59.135,202308,23,"16,600",14,1995,하평3길 37,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1293-2,1293,2,청송,84.42,202308,17,"21,500",15,1994,하평길 41,, ,중개거래,강릉시
강원특별자치도 강릉시 포남동,1065,1065,0,포남1주공,41.98,202308,28,"12,900",1,1981,보래미상길 65,, ,중개거래,원주시
강원특별자치도 강릉시 포남동,1200,1200,0,포남2주공,39.3,202308,4,"8,000",3,1989,산양큰길 37,, ,직거래,-
강원특별자치도 강릉시 포남동,1200,1200,0,포남2주공,39.69,202308,18,"11,500",2,1989,산양큰길 37,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1007,1007,0,강릉홍제힐스테이트,129.689,202308,3,"47,000",12,2007,토성로 39,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202308,1,"29,500",20,2018,선수촌로 10,, ,직거래,-
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202308,2,"32,800",21,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.78,202308,15,"30,700",4,2018,선수촌로 10,20230828, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202308,15,"31,800",8,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202308,16,"32,500",13,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.78,202308,18,"32,900",15,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202308,18,"31,200",21,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202308,19,"32,300",8,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202308,21,"30,100",10,2018,선수촌로 10,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1044,1044,0,엘에이치미디어촌6단지,59.98,202308,23,"32,000",13,2018,선수촌로 10,, ,중개거래,"강릉시, 서울 서초구"
강원특별자치도 강릉시 홍제동,1037,1037,0,우미린아파트,84.9843,202308,24,"43,800",3,2016,선수촌로 55,, ,중개거래,강릉시
강원특별자치도 강릉시 홍제동,1037,1037,0,우미린아파트,84.9819,202308,25,"45,500",7,2016,선수촌로 55,, ,중개거래,강릉시
강원특별자치도 강릉시 회산동,610,610,0,강릉회산한신더휴,84.961,202308,7,"36,000",11,2019,회산로 313,, ,중개거래,강릉시
강원특별자치도 강릉시 회산동,130,130,0,힐스테이트강릉,84.9925,202308,21,"39,000",11,2018,회산로383번길 37,, ,중개거래,강릉시
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,39.36,202308,3,"7,450",12,1998,남천마루2길 6,, ,중개거래,고성군
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,59.68,202308,5,"13,000",14,1998,남천마루2길 6,, ,중개거래,속초시
강원특별자치도 고성군 간성읍 신안리,111,111,0,고성삼익레스타운,39.36,202308,21,"7,000",10,1998,남천마루2길 6,, ,중개거래,고성군
강원특별자치도 고성군 토성면 봉포리,381,381,0,봉포스위트엠오션파크,80.4353,202308,5,"24,000",3,2020,광포1길 7,, ,중개거래,속초시
강원특별자치도 동해시 동회동,442,442,0,"대동1,2차",73.4675,202308,16,"9,000",4,1995,청운1길 29,, ,직거래,-
강원특별자치도 동해시 동회동,442,442,0,북삼코아루,84.98,202308,12,"20,800",4,2007,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,북삼코아루,84.98,202308,17,"19,500",3,2007,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대4차,84.5525,202308,7,"16,000",12,1998,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대5차,134.783,202308,1,"22,500",5,1999,청운1길 29,, ,직거래,-
강원특별자치도 동해시 동회동,442,442,0,현대5차,77.7562,202308,18,"15,500",18,1999,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대5차,77.7562,202308,29,"15,100",8,1999,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,442,442,0,현대5차,84.9562,202308,30,"15,500",16,1999,청운1길 29,, ,중개거래,동해시
강원특별자치도 동해시 동회동,86,86,0,협성2차,84.72,202308,14,"10,500",3,1999,효자남길 8-7,, ,중개거래,동해시
강원특별자치도 동해시 발한동,599-5,599,5,경민2차,64.3,202308,14,"4,500",3,1991,수원지2길 12-4,, ,직거래,-
강원특별자치도 동해시 발한동,802,802,0,동해KD아람채,84.9369,202308,12,"25,000",6,2019,지리골길 33,, ,직거래,-
강원특별자치도 동해시 발한동,599,599,0,삼우,37.08,202308,28,"2,400",4,1988,수원지2길 12-3,, ,중개거래,동해시
강원특별자치도 동해시 발한동,516-1,516,1,삼화,50.85,202308,3,"3,500",6,1991,동호3길 47,, ,중개거래,동해시
강원특별자치도 동해시 발한동,801,801,0,현대비에스앤씨현대썬앤빌동해파크힐,59.8993,202308,17,"21,500",4,2018,지리골길 31,, ,중개거래,동해시
강원특별자치도 동해시 발한동,801,801,0,현대비에스앤씨현대썬앤빌동해파크힐,59.8993,202308,21,"17,800",6,2018,지리골길 31,, ,직거래,-
강원특별자치도 동해시 부곡동,02-9,9,2,동성,69.21,202308,21,"4,100",5,1987,부곡4길 26,, ,중개거래,동해시
강원특별자치도 동해시 부곡동,1-73,73,1,동해,63.87,202308,23,"4,400",2,1981,가마골길 42-10,, ,중개거래,동해시
강원특별자치도 동해시 부곡동,2-31,31,2,삼화미성,58.83,202308,23,"5,800",1,1991,부곡4길 10,, ,중개거래,동해시
강원특별자치도 동해시 부곡동,5-82,5,82,일정골든타워,53.303,202308,7,"7,400",1,1996,해안로 449,, ,중개거래,동해시
강원특별자치도 동해시 쇄운동,1100,1100,0,아름다운아침,49.95,202308,21,"7,600",14,2012,효자로 572-1,, ,중개거래,동해시
강원특별자치도 동해시 용정동,260-2,260,2,범주성지,53.75,202308,3,"7,000",3,1996,초원2길 5,, ,중개거래,동해시
강원특별자치도 동해시 이도동,302-6,302,6,강변,35.925,202308,18,"3,700",8,1996,전천로 175-24,, ,중개거래,동해시
강원특별자치도 동해시 이도동,155,155,0,이도1주공,49.62,202308,2,"6,650",1,1999,이원길 180-2,, ,중개거래,동해시
강원특별자치도 동해시 이도동,172,172,0,현대,84.99,202308,14,"13,000",10,1996,이원길 180,, ,중개거래,동해시
강원특별자치도 동해시 이도동,172,172,0,현대,59.97,202308,31,"9,800",8,1996,이원길 180,, ,중개거래,동해시
강원특별자치도 동해시 이로동,433-31,433,31,동해규수방,45.94,202308,27,"2,100",5,2007,월평로 49,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,965-1,965,1,범주성지(가나),59.95,202308,29,"4,800",6,1994,감추1길 8,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1077,1077,0,삼성,73.83,202308,4,"12,300",1,1991,대학로 31,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1004-5,1004,5,시영2차,49.89,202308,12,"6,400",5,1991,동굴로 34,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,942,942,0,쌍용,83.7,202308,12,"23,300",13,2000,동굴로 149,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1111,1111,0,천곡금호어울림라포레,64.7915,202308,8,"25,000",9,2020,항골길 65,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1111,1111,0,천곡금호어울림라포레,64.7915,202308,12,"25,500",12,2020,항골길 65,, ,중개거래,"동해시, 삼척시"
강원특별자치도 동해시 천곡동,1080,1080,0,천곡주공1차,43.97,202308,29,"8,700",3,1983,천곡로 20,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,306,306,0,천곡주공3차,59.3,202308,23,"9,450",5,1985,동굴로 61-19,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,47.31,202308,3,"8,200",2,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,39.6,202308,12,"6,000",4,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,46.98,202308,15,"8,000",2,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,46.98,202308,18,"7,300",2,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,46.98,202308,18,"8,000",5,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,39.3,202308,18,"6,000",4,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,39.3,202308,21,"7,000",2,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,39.69,202308,22,"5,000",4,1989,샘실1길 5,, ,직거래,-
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,39.3,202308,22,"8,250",1,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,415,415,0,천곡주공4차,39.69,202308,25,"7,000",3,1989,샘실1길 5,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,794,794,0,한양3차,69.36,202308,22,"6,000",5,1992,천곡로 15,, ,중개거래,동해시
강원특별자치도 동해시 천곡동,1103,1103,0,한양수자인,71.48,202308,7,"20,800",11,2016,평릉1길 37-1,, ,중개거래,동해시
강원특별자치도 동해시 평릉동,449,449,0,동해하나리움,59.9844,202308,1,"15,000",7,2010,평원로 115,, ,직거래,-
강원특별자치도 동해시 평릉동,450,450,0,엘리시아,84.9792,202308,4,"26,200",5,2010,평원로 107,, ,중개거래,동해시
강원특별자치도 동해시 평릉동,456,456,0,코아루디오션,84.9694,202308,10,"30,000",2,2014,평원로 100,, ,직거래,-
강원특별자치도 동해시 평릉동,456,456,0,코아루디오션,84.9788,202308,13,"30,300",3,2014,평원로 100,, ,중개거래,동해시
강원특별자치도 동해시 효가동,480,480,0,동아더프라임1단지,84.9027,202308,12,"20,000",14,2013,양지길 20-2,, ,중개거래,동해시
강원특별자치도 동해시 효가동,480,480,0,동아더프라임1단지,84.9151,202308,14,"21,000",4,2013,양지길 20-2,, ,중개거래,동해시
강원특별자치도 동해시 효가동,481,481,0,동아더프라임2단지,84.9714,202308,9,"21,000",2,2013,양지길 20-1,, ,중개거래,동해시
강원특별자치도 동해시 효가동,248,248,0,명보2차,59.64,202308,7,"4,300",8,1994,효가로 10-2,, ,직거래,-
강원특별자치도 동해시 효가동,248,248,0,명보2차,59.64,202308,16,"7,000",6,1994,효가로 10-2,, ,중개거래,동해시
